id: 54a8f475-823a-3059-812e-555843f1a86e
name: Osuebahan
created: 1676437183937
updated: 1676437371545
last_cast: 1676437201655
cooldown_expiration: 0
last_death_location: ''
fall_protection_count: 0
fall_protection: 0
brush:
  map_id: -1
  material: dirt
  data: 0
  schematic: ''
  scale: 1.0
  erase: true
undo:
  92354a01-3cad-4683-9889-06f2e54be75b: []
spells:
  ak47:
    cast_count: 2
    last_cast: 1676437201656
    last_earn: 0
    cooldown_expiration: 1676437201756
    charges: 0.0
  missile:
    cast_count: 0
    last_cast: 0
    last_earn: 0
    cooldown_expiration: 0
    charges: 0.0
wands:
  wand:
    item:
      ==: org.bukkit.inventory.ItemStack
      v: 3218
      type: STICK
      meta:
        ==: ItemMeta
        meta-type: UNSPECIFIC
        display-name: '{"extra":[{"bold":false,"italic":false,"underlined":false,"strikethrough":false,"obfuscated":false,"color":"dark_aqua","text":"Wand"}],"text":""}'
        lore:
        - '{"italic":false,"extra":[{"color":"gray","text":"Beginner "},{"color":"white","text":"Magic
          Wand"}],"text":""}'
        - '{"italic":true,"color":"dark_aqua","text":"Bound to Osuebahan"}'
        - '{"italic":false,"extra":[{"color":"aqua","text":"Fire a bolt of pure magic"}],"text":""}'
        - '{"italic":false,"extra":[{"color":"yellow","text":"Cooldown: "},{"color":"gold","text":"One
          second"}],"text":""}'
        - '{"italic":false,"extra":[{"color":"blue","text":"Range: "},{"color":"gold","text":"24
          "},{"color":"blue","text":"meters"}],"text":""}'
        - '{"italic":false,"extra":[{"color":"gray","text":"Lasts for 10 seconds"}],"text":""}'
        - '{"italic":false,"extra":[{"color":"yellow","text":"Consumes 15 "},{"color":"dark_aqua","text":"MP"}],"text":""}'
        - '{"italic":false,"extra":[{"color":"dark_green","text":"Earns up to "},{"color":"gold","text":"20
          "},{"color":"aqua","text":"SP"}],"text":""}'
        - '{"italic":false,"extra":[{"color":"yellow","text":"Mana: 50"}],"text":""}'
        - '{"italic":false,"extra":[{"color":"yellow","text":"Mana Regeneration: 5/s"}],"text":""}'
        custom-model-data: 18001
        attribute-modifiers:
          GENERIC_ATTACK_SPEED:
          - ==: org.bukkit.attribute.AttributeModifier
            amount: 10.0
            name: Equipment Modifier
            slot: HAND
            uuid: 02e6d1fa-aeac-4876-b17e-4648b4f2d620
            operation: 0
        ItemFlags:
        - HIDE_ENCHANTS
        - HIDE_ATTRIBUTES
        - HIDE_UNBREAKABLE
        - HIDE_DESTROYS
        - HIDE_PLACED_ON
        - HIDE_POTION_EFFECTS
        - HIDE_DYE
        Unbreakable: true
        internal: H4sIAAAAAAAA/yWOUQ6CMBBEl4ihKsfQP0lalmI5hUcgS9lGArYEUD+Md5fo32Re5mX2ABHEPfMY7SF+kW8FbMPL8wS76/zghm7kBYhfVXctHHVBxhUXnZkcKUOpq8yonDOttSnQKTIlr4OF7+NAC/+lG0iePM1d8ACQCIg7u8Z0Xjrbv5WRUn0EpOwc26W2YQgTnLAxlb2UKG3jziXZVmJOGoszSodasVkJre8PD99OYRypGTiCL2wErzjRAAAA
    wand:
      owner: Osuebahan
      version: 7
      template: wand
      owner_id: 54a8f475-823a-3059-812e-555843f1a86e
      icon: stick{18001}
      effect_color: 3b89c7630cbf,6acd032a534,30f351e830ca
open_wand: false
gave_welcome_wand: false
resource_pack_preference: default
data: {}
properties: {}
classes:
  caster: {}
  mage:
    effect_color: 7dd7da0323b7,3108edde0360,7639d7780acb
    mana_timestamp: 1676437371449
    mana: 50.0
  soldier: {}
transient_modifiers: {}
active_class: mage
health: 20.0
